GO terms,Common Intersections
GO:0030659,"['ATG9A', 'LYN', 'BECN1', 'UBXN6', 'VPS25', 'PIK3C3', 'NPC1', 'CHMP3', 'CLEC16A', 'STAM', 'STING1', 'PSEN1', 'ULK2', 'MCOLN1', 'SNF8', 'STX17', 'OPTN', 'VPS36', 'ATG16L1']"
GO:0019898,"['TOLLIP', 'LYN', 'BECN1', 'SRC', 'PIK3C3']"
GO:0019725,"['FOXO1', 'PRKN', 'MAPK3', 'AMBRA1', 'ABL1', 'LYN', 'PSEN1', 'OGT', 'MCOLN1', 'BNIP3', 'BCL2', 'S100A9']"
GO:0009408,"['MTOR', 'LYN', 'VCP']"
GO:1900542,"['TP53', 'VCP', 'PSEN1', 'OGT', 'MTOR']"
GO:0050790,"['PRKN', 'MAPK3', 'ABL1', 'HMGB1', 'PHB2', 'TP53', 'LYN', 'PSEN1', 'VCP', 'SRC', 'MARK2', 'VPS25', 'EPM2A']"
GO:0023056,"['AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'SRC', 'NOD1', 'S100A9', 'CLEC16A', 'OGT', 'STING1', 'HMGB1', 'PHB2', 'TP53', 'PSEN1', 'INHBA', 'PRKN', 'MAPK3', 'VCP', 'RB1CC1', 'MTOR']"
GO:0140096,"['PRKN', 'MAPK3', 'UBA5', 'ABL1', 'LYN', 'PSEN1', 'ATG4B', 'SRC', 'OGT', 'MARK2', 'ULK2', 'MTOR', 'EPM2A', 'PIK3C3', 'ATG16L1', 'ATG3']"
GO:0065008,"['ATG9A', 'ABL1', 'SQSTM1', 'LYN', 'SRC', 'MARK2', 'ABI2', 'CHMP3', 'OGT', 'FOXO1', 'HMGB1', 'PHB2', 'TP53', 'PSEN1', 'ULK2', 'INHBA', 'BNIP3', 'SNF8', 'BCL2', 'PRKN', 'VCP', 'RB1CC1', 'MTOR']"
GO:0043549,"['PRKN', 'ABL1', 'PHB2', 'LYN', 'SRC', 'MARK2', 'VPS25']"
GO:0044085,"['ATG9A', 'AMBRA1', 'ABL1', 'SQSTM1', 'BECN1', 'ATG2A', 'ATG4B', 'SRC', 'ABI2', 'VPS25', 'UBQLN2', 'PIK3C3', 'TRAPPC4', 'CHMP3', 'OGT', 'EPM2A', 'PIP4K2B', 'STAM', 'ATG3', 'STING1', 'HMGB1', 'TP53', 'PSEN1', 'AP4M1', 'MAP1LC3C', 'ULK2', 'MCOLN1', 'BCL2', 'SNF8', 'STX17', 'PRKN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ATG16L1', 'PEX5']"
HPA:0430051,"['TOLLIP', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'ATG4B', 'UBXN6', 'SRC', 'MARK2', 'ABI2', 'PIK3C3', 'LGALS8', 'TRAPPC4', 'NPC1', 'CHMP3', 'CLEC16A', 'CISD2', 'OGT', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'PSEN1', 'ULK2', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'UBA5', 'ATG16L1', 'PEX5']"
GO:0009893,"['TOLLIP', 'AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'ATG2A', 'SRC', 'MARK2', 'NOD1', 'OGT', 'EPM2A', 'PIP4K2B', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'ULK2', 'INHBA', 'BNIP3', 'BCL2', 'SNF8', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'RB1CC1', 'MTOR', 'ATG16L1']"
HPA:0310441,"['TOLLIP', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'ATG4B', 'UBXN6', 'MARK2', 'UBQLN2', 'PIK3C3', 'LGALS8', 'S100A9', 'TRAPPC4', 'NPC1', 'CHMP3', 'CISD2', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'PSEN1', 'ULK2', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'OPTN', 'VCP', 'VPS36', 'ARSB', 'UBA5', 'PEX5']"
GO:0043229,"['ATG9A', 'TOLLIP', 'AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'ATG4B', 'ATG2A', 'SRC', 'UBXN6', 'MARK2', 'ABI2', 'VPS25', 'UBQLN2', 'NOD1', 'PIK3C3', 'LGALS8', 'S100A9', 'TRAPPC4', 'NPC1', 'CHMP3', 'CLEC16A', 'CISD2', 'OGT', 'EPM2A', 'PIP4K2B', 'STAM', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'AP4M1', 'MAP1LC3C', 'ULK2', 'MCOLN1', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'UBA5', 'ATG16L1', 'PEX5']"
GO:0002521,"['AMBRA1', 'ABL1', 'HMGB1', 'TP53', 'LYN', 'PSEN1', 'SRC', 'INHBA', 'MTOR', 'BCL2']"
HPA:0390000,"['TOLLIP', 'AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'UBXN6', 'SRC', 'MARK2', 'UBQLN2', 'PIK3C3', 'LGALS8', 'TRAPPC4', 'NPC1', 'CHMP3', 'CLEC16A', 'CISD2', 'OGT', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'PSEN1', 'ULK2', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'UBA5', 'ATG16L1', 'PEX5']"
GO:0005737,"['ATG9A', 'TOLLIP', 'AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'ATG4B', 'ATG2A', 'SRC', 'UBXN6', 'MARK2', 'ABI2', 'VPS25', 'UBQLN2', 'NOD1', 'PIK3C3', 'S100A9', 'LGALS8', 'TRAPPC4', 'CHMP3', 'NPC1', 'CLEC16A', 'CISD2', 'OGT', 'EPM2A', 'PIP4K2B', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'HMGB1', 'PHB2', 'TP53', 'PSEN1', 'AP4M1', 'MAP1LC3C', 'ULK2', 'MCOLN1', 'BNIP3', 'INHBA', 'SNF8', 'BCL2', 'STX17', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'UBA5', 'ATG16L1', 'PEX5']"
GO:0010563,"['PRKN', 'ABL1', 'TP53', 'LYN', 'PSEN1', 'INHBA', 'VPS25', 'EPM2A']"
HP:0031466,"['OPTN', 'SQSTM1', 'TP53', 'PSEN1', 'VCP', 'UBQLN2', 'EPM2A']"
GO:0050821,"['PRKN', 'TP53', 'PHB2']"
GO:0050789,"['TOLLIP', 'AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'ATG2A', 'SRC', 'MARK2', 'ABI2', 'VPS25', 'UBQLN2', 'NOD1', 'PIK3C3', 'S100A9', 'NPC1', 'CHMP3', 'CLEC16A', 'CISD2', 'OGT', 'EPM2A', 'PIP4K2B', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'ULK2', 'MCOLN1', 'INHBA', 'BNIP3', 'BCL2', 'DAP', 'SNF8', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'RB1CC1', 'MTOR', 'ARSB', 'UBA5', 'ATG16L1', 'PEX5']"
GO:0019900,"['TOLLIP', 'STING1', 'PRKN', 'ABL1', 'SQSTM1', 'TP53', 'BECN1', 'SRC', 'RB1CC1', 'ABI2', 'STX17']"
GO:0031401,"['TOLLIP', 'PRKN', 'ABL1', 'PHB2', 'SQSTM1', 'TP53', 'LYN', 'PSEN1', 'VCP', 'SRC', 'RB1CC1', 'MARK2', 'INHBA', 'MTOR', 'BCL2']"
GO:0002764,"['STING1', 'ABL1', 'HMGB1', 'SQSTM1', 'PHB2', 'LYN', 'BECN1', 'PSEN1', 'SRC', 'NOD1', 'BCL2', 'S100A9']"
GO:0034620,"['PRKN', 'VCP', 'OPTN']"
HPA:0090000,"['TOLLIP', 'AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'UBXN6', 'MARK2', 'ABI2', 'UBQLN2', 'PIK3C3', 'LGALS8', 'TRAPPC4', 'NPC1', 'CHMP3', 'CLEC16A', 'CISD2', 'OGT', 'STAM', 'ATG3', 'FOXO1', 'PHB2', 'HMGB1', 'PSEN1', 'AP4M1', 'ULK2', 'BNIP3', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'ATG16L1', 'PEX5']"
HPA:0360000,"['TOLLIP', 'AMBRA1', 'ABL1', 'SQSTM1', 'BECN1', 'UBXN6', 'MARK2', 'ABI2', 'UBQLN2', 'PIK3C3', 'LGALS8', 'TRAPPC4', 'NPC1', 'CHMP3', 'CLEC16A', 'CISD2', 'OGT', 'STAM', 'ATG3', 'FOXO1', 'PHB2', 'HMGB1', 'PSEN1', 'AP4M1', 'ULK2', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'UBA5', 'ATG16L1', 'PEX5']"
GO:0030135,['STX17']
GO:0016192,"['ABL1', 'SQSTM1', 'LYN', 'BECN1', 'UBXN6', 'SRC', 'VPS25', 'UBQLN2', 'PIK3C3', 'NPC1', 'TRAPPC4', 'CHMP3', 'CLEC16A', 'PIP4K2B', 'STAM', 'ATG3', 'HMGB1', 'PSEN1', 'AP4M1', 'SNF8', 'STX17', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36']"
GO:0031410,"['ATG9A', 'TOLLIP', 'AMBRA1', 'SQSTM1', 'LYN', 'BECN1', 'ATG4B', 'UBXN6', 'SRC', 'VPS25', 'UBQLN2', 'NOD1', 'PIK3C3', 'LGALS8', 'S100A9', 'TRAPPC4', 'NPC1', 'CHMP3', 'CLEC16A', 'STAM', 'STING1', 'HMGB1', 'PSEN1', 'AP4M1', 'MAP1LC3C', 'ULK2', 'MCOLN1', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'MTOR', 'ARSB', 'ATG16L1']"
GO:0062197,"['FOXO1', 'PRKN', 'MAPK3', 'ABL1', 'TP53', 'BECN1', 'SRC', 'BNIP3', 'MTOR', 'PEX5']"
GO:0009615,"['STING1', 'PHB2', 'BECN1', 'BNIP3', 'ATG16L1', 'BCL2', 'LGALS8', 'CHMP3']"
GO:0010498,"['PRKN', 'AMBRA1', 'PSEN1', 'VCP', 'UBXN6', 'OGT', 'UBQLN2', 'EPM2A']"
GO:0070301,"['BNIP3', 'ABL1', 'BECN1', 'SRC']"
HPA:0050052,"['TOLLIP', 'ABL1', 'SQSTM1', 'BECN1', 'MARK2', 'ABI2', 'UBQLN2', 'PIK3C3', 'LGALS8', 'TRAPPC4', 'CHMP3', 'CLEC16A', 'CISD2', 'STAM', 'ATG3', 'PHB2', 'HMGB1', 'PSEN1', 'ULK2', 'BNIP3', 'BCL2', 'STX17', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'UBA5', 'ATG16L1', 'PEX5']"
GO:0043130,"['TOLLIP', 'PRKN', 'SQSTM1', 'VPS36', 'NOD1', 'STAM']"
GO:0000209,"['PRKN', 'BCL2', 'AMBRA1']"
GO:0065010,"['TOLLIP', 'SQSTM1', 'LYN', 'AP4M1', 'VCP', 'UBXN6', 'SRC', 'VPS36', 'VPS25', 'ARSB', 'SNF8', 'S100A9', 'NPC1', 'CHMP3']"
GO:1903050,"['PRKN', 'PSEN1', 'VCP', 'OGT', 'UBQLN2', 'EPM2A']"
GO:0033993,"['FOXO1', 'MAPK3', 'ABL1', 'HMGB1', 'PHB2', 'LYN', 'SRC', 'INHBA', 'UBA5', 'BCL2', 'S100A9', 'NPC1']"
GO:0034605,"['MTOR', 'LYN', 'VCP']"
GO:1903530,"['FOXO1', 'PRKN', 'LYN', 'INHBA', 'SNF8', 'STAM']"
GO:0009966,"['AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'SRC', 'VPS25', 'UBQLN2', 'NOD1', 'S100A9', 'NPC1', 'CLEC16A', 'OGT', 'PIP4K2B', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'INHBA', 'BCL2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'RB1CC1', 'MTOR', 'UBA5']"
GO:0019079,"['PRKN', 'VCP', 'BCL2', 'PIK3C3', 'ATG16L1']"
GO:1901698,"['FOXO1', 'STING1', 'PRKN', 'ABL1', 'MAPK3', 'TP53', 'LYN', 'PSEN1', 'VCP', 'UBXN6', 'SRC', 'OGT', 'INHBA', 'MTOR', 'NOD1', 'PIP4K2B', 'NPC1']"
GO:0007399,"['AMBRA1', 'ABL1', 'LYN', 'BECN1', 'SRC', 'MARK2', 'ABI2', 'S100A9', 'TRAPPC4', 'NPC1', 'OGT', 'EPM2A', 'HMGB1', 'TP53', 'PSEN1', 'ULK2', 'INHBA', 'BNIP3', 'BCL2', 'PRKN', 'MAPK3', 'MTOR', 'ARSB', 'ATG16L1', 'PEX5']"
GO:0009892,"['ABL1', 'SQSTM1', 'LYN', 'BECN1', 'SRC', 'VPS25', 'NPC1', 'CLEC16A', 'OGT', 'EPM2A', 'FOXO1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'INHBA', 'BNIP3', 'BCL2', 'DAP', 'PRKN', 'OPTN', 'MTOR']"
GO:0060341,"['FOXO1', 'PRKN', 'MAPK3', 'SQSTM1', 'PSEN1', 'VCP', 'SRC', 'OGT', 'MTOR', 'EPM2A', 'BCL2', 'CHMP3']"
GO:0043122,"['PRKN', 'ABL1', 'OPTN', 'SQSTM1', 'NOD1']"
GO:0070887,"['ABL1', 'LYN', 'BECN1', 'SRC', 'NOD1', 'S100A9', 'NPC1', 'OGT', 'PIP4K2B', 'FOXO1', 'STING1', 'HMGB1', 'PHB2', 'TP53', 'PSEN1', 'INHBA', 'BNIP3', 'MCOLN1', 'BCL2', 'PRKN', 'MAPK3', 'VCP', 'MTOR', 'UBA5', 'PEX5']"
GO:0051179,"['ATG9A', 'TOLLIP', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'ATG2A', 'ATG4B', 'SRC', 'UBXN6', 'MARK2', 'VPS25', 'UBQLN2', 'PIK3C3', 'S100A9', 'TRAPPC4', 'NPC1', 'CHMP3', 'CLEC16A', 'OGT', 'EPM2A', 'PIP4K2B', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'AP4M1', 'MAP1LC3C', 'MCOLN1', 'INHBA', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'MTOR', 'ARSB', 'UBA5', 'ATG16L1', 'PEX5']"
GO:0042995,"['AMBRA1', 'ABL1', 'SQSTM1', 'BECN1', 'SRC', 'MARK2', 'ABI2', 'PIK3C3', 'TRAPPC4', 'OGT', 'EPM2A', 'PHB2', 'PSEN1', 'MCOLN1', 'BNIP3', 'PRKN', 'MAPK3', 'MTOR', 'ATG16L1']"
GO:0002237,"['MAPK3', 'ABL1', 'HMGB1', 'LYN', 'SRC', 'S100A9']"
GO:0042802,"['SQSTM1', 'BECN1', 'ABI2', 'VPS25', 'UBQLN2', 'NOD1', 'CHMP3', 'CISD2', 'EPM2A', 'PIP4K2B', 'STING1', 'PHB2', 'TP53', 'INHBA', 'BNIP3', 'MCOLN1', 'BCL2', 'SNF8', 'CALCOCO2', 'PRKN', 'MAPK3', 'OPTN', 'VCP', 'MTOR', 'UBA5', 'ATG16L1']"
GO:0010647,"['AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'SRC', 'NOD1', 'S100A9', 'CLEC16A', 'OGT', 'STING1', 'HMGB1', 'PHB2', 'TP53', 'INHBA', 'PRKN', 'MAPK3', 'VCP', 'RB1CC1', 'MTOR']"
HPA:0630000,"['TOLLIP', 'AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'UBXN6', 'SRC', 'MARK2', 'ABI2', 'PIK3C3', 'LGALS8', 'S100A9', 'NPC1', 'CHMP3', 'CLEC16A', 'CISD2', 'OGT', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'PSEN1', 'ULK2', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'VPS36', 'MTOR', 'ARSB', 'UBA5', 'ATG16L1', 'PEX5']"
GO:0002684,"['MAPK3', 'STING1', 'AMBRA1', 'ABL1', 'HMGB1', 'SQSTM1', 'PHB2', 'LYN', 'BECN1', 'PSEN1', 'SRC', 'MTOR', 'NOD1', 'BCL2', 'S100A9']"
GO:0001775,"['TOLLIP', 'ABL1', 'AMBRA1', 'HMGB1', 'PHB2', 'TP53', 'LYN', 'PSEN1', 'SRC', 'INHBA', 'MTOR', 'BCL2']"
GO:1901701,"['ABL1', 'LYN', 'BECN1', 'SRC', 'NOD1', 'OGT', 'PIP4K2B', 'FOXO1', 'HMGB1', 'PHB2', 'TP53', 'PSEN1', 'INHBA', 'BNIP3', 'PRKN', 'MAPK3', 'VCP', 'MTOR', 'PEX5']"
GO:0035556,"['AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'BECN1', 'SRC', 'MARK2', 'ABI2', 'NOD1', 'PIK3C3', 'S100A9', 'NPC1', 'CLEC16A', 'OGT', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'MCOLN1', 'INHBA', 'BNIP3', 'BCL2', 'MAPK3', 'PRKN', 'OPTN', 'VCP', 'RB1CC1', 'MTOR', 'UBA5']"
HPA:0460000,"['TOLLIP', 'AMBRA1', 'SQSTM1', 'BECN1', 'UBXN6', 'SRC', 'MARK2', 'ABI2', 'UBQLN2', 'PIK3C3', 'S100A9', 'TRAPPC4', 'NPC1', 'CHMP3', 'CLEC16A', 'CISD2', 'OGT', 'STAM', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'TP53', 'PSEN1', 'ULK2', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'CALCOCO2', 'MAPK3', 'OPTN', 'VCP', 'VPS36', 'RB1CC1', 'MTOR', 'ARSB', 'ATG16L1', 'PEX5']"
GO:0045022,"['MAPK3', 'BECN1', 'PIK3C3', 'SRC', 'SNF8', 'CHMP3']"
GO:0030003,"['MAPK3', 'ABL1', 'LYN', 'PSEN1', 'MCOLN1', 'BNIP3', 'BCL2', 'S100A9']"
GO:2000377,"['PRKN', 'FOXO1', 'TP53', 'BECN1', 'BNIP3', 'BCL2']"
GO:0005856,"['MAPK3', 'AMBRA1', 'ABL1', 'CHMP3', 'TP53', 'PSEN1', 'UBXN6', 'SRC', 'MAP1LC3C', 'MARK2', 'ABI2', 'ATG16L1', 'PIK3C3', 'S100A9', 'CALCOCO2']"
GO:1901981,"['OGT', 'VPS36', 'ATG2A', 'CHMP3']"
GO:0001666,"['PHB2', 'TP53', 'BECN1', 'SRC', 'INHBA', 'BNIP3', 'MTOR', 'BCL2']"
GO:0140546,"['TOLLIP', 'STING1', 'HMGB1', 'SQSTM1', 'PHB2', 'OPTN', 'TP53', 'LYN', 'BECN1', 'SRC', 'BNIP3', 'CALCOCO2', 'ATG16L1', 'NOD1', 'BCL2', 'S100A9', 'CHMP3']"
GO:0044389,"['TOLLIP', 'FOXO1', 'STING1', 'AMBRA1', 'PRKN', 'SQSTM1', 'TP53', 'LYN', 'BECN1', 'VCP', 'ABI2', 'MAP1LC3C', 'BCL2', 'STAM']"
GO:0000278,"['AMBRA1', 'ABL1', 'PHB2', 'TP53', 'BECN1', 'VCP', 'INHBA', 'BCL2', 'CHMP3']"
GO:0009895,"['CLEC16A', 'BECN1', 'TP53', 'PSEN1', 'OGT', 'BCL2', 'MTOR', 'DAP', 'NPC1']"
GO:0033143,"['UBA5', 'PHB2', 'SRC']"
GO:0051099,"['PRKN', 'STING1', 'ABL1', 'HMGB1', 'PSEN1']"
GO:0001836,"['PRKN', 'BCL2', 'TP53', 'BNIP3']"
GO:2000060,"['PRKN', 'PSEN1', 'VCP']"
GO:0043230,"['TOLLIP', 'SQSTM1', 'LYN', 'AP4M1', 'VCP', 'UBXN6', 'SRC', 'VPS36', 'VPS25', 'ARSB', 'SNF8', 'S100A9', 'NPC1', 'CHMP3']"
GO:0043412,"['TOLLIP', 'AMBRA1', 'ABL1', 'SQSTM1', 'LYN', 'ATG4B', 'SRC', 'MARK2', 'ABI2', 'VPS25', 'PIK3C3', 'S100A9', 'NPC1', 'OGT', 'EPM2A', 'ATG3', 'FOXO1', 'PHB2', 'TP53', 'PSEN1', 'ULK2', 'INHBA', 'BCL2', 'MAPK3', 'PRKN', 'VCP', 'RB1CC1', 'MTOR', 'UBA5', 'ATG16L1']"
GO:1901265,"['MAPK3', 'STING1', 'UBA5', 'ABL1', 'LYN', 'VCP', 'SRC', 'MARK2', 'ULK2', 'MTOR', 'PIP4K2B', 'NOD1', 'PIK3C3']"
GO:0030520,"['UBA5', 'PHB2', 'SRC']"
HPA:0530000,"['ABL1', 'SQSTM1', 'LYN', 'BECN1', 'UBXN6', 'SRC', 'MARK2', 'ABI2', 'UBQLN2', 'PIK3C3', 'LGALS8', 'S100A9', 'TRAPPC4', 'NPC1', 'CHMP3', 'CISD2', 'OGT', 'ATG3', 'FOXO1', 'STING1', 'PHB2', 'HMGB1', 'PSEN1', 'ULK2', 'BNIP3', 'BCL2', 'SNF8', 'STX17', 'MAPK3', 'OPTN', 'VCP', 'VPS36', 'MTOR', 'ARSB', 'PEX5']"
GO:0010660,"['FOXO1', 'TP53', 'AMBRA1', 'BNIP3']"
GO:0043254,"['AMBRA1', 'ABL1', 'HMGB1', 'TP53', 'VCP', 'SRC', 'MTOR', 'PEX5']"
GO:0000302,"['MAPK3', 'ABL1', 'BECN1', 'SRC', 'BNIP3', 'BCL2', 'PEX5']"
GO:0031344,"['ABL1', 'LYN', 'PSEN1', 'SRC', 'MARK2', 'ABI2', 'ULK2', 'MTOR', 'ARSB', 'S100A9', 'ATG3']"
REAC:R-HSA-9824446,"['STING1', 'BECN1', 'VCP', 'VPS36', 'VPS25', 'SNF8', 'NOD1', 'PIK3C3', 'CHMP3']"
