,GO terms,Common Intersections
439,GO:2001141,"['ABL1', 'OGT', 'CDKN2A']"
440,KEGG:04659,[]
441,GO:0006997,"['RTN4', 'CDKN2A']"
442,GO:0001933,"['ABL1', 'CDKN2A', 'EIF4G1']"
443,REAC:R-HSA-168256,"['ABL1', 'EIF4G1']"
444,HPA:0190221,"['EIF4G1', 'ABL1', 'CDKN2A', 'OGT', 'DAPL1']"
445,GO:0198738,['ABL1']
446,GO:0045766,"['RTN4', 'ABL1']"
447,GO:0051093,"['RTN4', 'MAPT', 'OGT', 'CDKN2A']"
448,HPA:0600441,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
449,GO:1900180,['CDKN2A']
450,GO:2000147,"['RTN4', 'ABL1']"
451,GO:0046903,[]
452,WP:WP3932,[]
453,GO:0045088,['RTN4']
454,GO:0050793,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT']"
455,GO:0070062,[]
456,REAC:R-HSA-3700989,['CDKN2A']
457,GO:0098657,['ABL1']
458,GO:2001235,[]
459,GO:0044770,"['CDKN2A', 'EIF4G1']"
460,GO:0080090,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
461,GO:0030183,['ABL1']
462,GO:0043067,"['RTN4', 'ABL1', 'OGT', 'CDKN2A']"
463,GO:0019439,"['OGT', 'CDKN2A']"
464,GO:0018130,"['ABL1', 'OGT', 'CDKN2A']"
465,GO:0043086,"['ABL1', 'CDKN2A', 'MAPT']"
466,GO:0002764,"['RTN4', 'ABL1']"
467,GO:0005737,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT']"
468,GO:0001934,"['ABL1', 'EIF4G1']"
469,GO:0035295,"['RTN4', 'ABL1', 'EIF4G1']"
470,GO:0017076,"['ABL1', 'EIF4G1']"
471,GO:0032182,[]
472,GO:0006913,['CDKN2A']
473,HPA:0040082,['EIF4G1']
474,HPA:0461442,[]
475,GO:0042176,['OGT']
476,GO:0004672,['ABL1']
477,GO:0098562,[]
478,GO:0051171,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
479,GO:0001525,"['RTN4', 'ABL1']"
480,GO:0009314,[]
481,GO:0070372,['ABL1']
482,GO:0019725,"['RTN4', 'ABL1', 'OGT']"
483,GO:0044093,"['ABL1', 'MAPT', 'CDKN2A', 'EIF4G1']"
484,HPA:0170000,"['EIF4G1', 'ABL1', 'CDKN2A', 'OGT', 'DAPL1']"
485,GO:0048856,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT']"
486,GO:0051047,[]
487,GO:0008285,['CDKN2A']
488,GO:0048468,"['ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT']"
489,GO:0006606,[]
490,GO:0140677,[]
491,HP:5200230,"['MAPT', 'CDKN2A']"
492,GO:0071453,['RTN4']
493,GO:0051090,['CDKN2A']
494,GO:0031072,['MAPT']
495,GO:0048584,"['RTN4', 'ABL1', 'OGT', 'CDKN2A']"
496,GO:0030030,"['RTN4', 'MAPT', 'ABL1']"
497,GO:0051249,"['ABL1', 'CDKN2A', 'DAPL1']"
498,GO:0098772,['CDKN2A']
499,GO:0098978,"['RTN4', 'OGT']"
500,GO:1903561,[]
501,GO:0002683,"['CDKN2A', 'DAPL1']"
502,GO:0043542,['ABL1']
503,GO:0045321,"['ABL1', 'CDKN2A', 'MAPT', 'DAPL1']"
504,GO:0010562,"['ABL1', 'EIF4G1', 'MAPT']"
505,GO:0043230,[]
506,GO:0045861,"['CDKN2A', 'OGT']"
507,GO:1901653,['OGT']
508,GO:0032388,[]
509,GO:0140693,[]
510,GO:0019207,['CDKN2A']
511,GO:0009991,"['OGT', 'EIF4G1', 'DAPL1']"
512,GO:0002376,"['ABL1', 'MAPT', 'RTN4', 'CDKN2A', 'DAPL1']"
513,WP:WP4674,['CDKN2A']
514,GO:0031326,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
515,GO:0030155,"['ABL1', 'CDKN2A', 'DAPL1']"
516,HPA:0380511,"['ABL1', 'CDKN2A', 'EIF4G1']"
517,GO:2001234,[]
518,GO:0070371,['ABL1']
519,GO:0090130,"['RTN4', 'ABL1']"
520,GO:0009617,['ABL1']
521,GO:0006950,"['EIF4G1', 'ABL1', 'MAPT', 'RTN4', 'CDKN2A', 'DAPL1']"
522,GO:0019887,['CDKN2A']
523,GO:0015031,['CDKN2A']
524,GO:0051345,"['MAPT', 'CDKN2A']"
525,GO:0048666,"['RTN4', 'ABL1', 'TUG1', 'MAPT']"
526,GO:0002684,"['RTN4', 'ABL1']"
527,GO:0016605,[]
528,GO:0042325,"['ABL1', 'MAPT', 'CDKN2A', 'EIF4G1']"
529,GO:0032943,"['ABL1', 'CDKN2A']"
530,GO:0043433,['CDKN2A']
531,HPA:0600222,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
532,GO:0042110,"['ABL1', 'CDKN2A', 'DAPL1']"
533,GO:0140014,[]
534,GO:0045596,"['RTN4', 'CDKN2A']"
535,GO:0099512,['MAPT']
536,GO:0032880,"['EIF4G1', 'OGT', 'MAPT', 'RTN4', 'CDKN2A']"
537,GO:0031348,[]
538,KEGG:05170,[]
539,GO:0007166,"['RTN4', 'ABL1', 'OGT']"
540,GO:1903039,['ABL1']
541,GO:1903052,[]
542,GO:0050801,['ABL1']
543,GO:0048858,"['RTN4', 'ABL1', 'MAPT']"
544,REAC:R-HSA-6785807,[]
545,GO:1990000,"['MAPT', 'CDKN2A']"
546,GO:0001817,"['RTN4', 'ABL1']"
547,GO:0000165,['ABL1']
548,GO:0009615,[]
549,GO:0120035,"['RTN4', 'ABL1', 'MAPT']"
550,GO:0051087,['MAPT']
551,GO:0050863,"['ABL1', 'CDKN2A', 'DAPL1']"
552,GO:1903047,"['CDKN2A', 'EIF4G1']"
553,GO:0007249,['ABL1']
554,GO:0007010,"['MAPT', 'ABL1']"
555,GO:0097367,"['ABL1', 'EIF4G1']"
556,GO:0141124,"['ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
557,GO:0048523,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
558,GO:0010639,['MAPT']
559,WP:WP4172,[]
560,HPA:0380512,"['CDKN2A', 'EIF4G1']"
561,GO:0007049,"['ABL1', 'CDKN2A', 'EIF4G1']"
562,REAC:R-HSA-2262752,['CDKN2A']
563,GO:0034249,"['RTN4', 'EIF4G1', 'DAPL1']"
564,GO:0009894,"['EIF4G1', 'ABL1', 'OGT', 'MAPT', 'CDKN2A', 'DAPL1']"
565,GO:0101002,[]
566,GO:1903532,[]
567,GO:0005635,"['RTN4', 'ABL1', 'TUG1']"
568,GO:0044087,"['ABL1', 'MAPT', 'OGT', 'EIF4G1']"
569,HPA:0010000,"['ABL1', 'MAPT', 'OGT', 'EIF4G1']"
570,GO:0051094,"['EIF4G1', 'ABL1', 'MAPT', 'RTN4', 'OGT']"
571,GO:0042326,"['ABL1', 'CDKN2A', 'EIF4G1', 'MAPT']"
572,GO:0043491,['RTN4']
573,GO:0062012,['OGT']
574,GO:0044877,"['ABL1', 'MAPT', 'OGT', 'DAPL1']"
575,GO:0045935,"['ABL1', 'OGT', 'CDKN2A']"
576,GO:0019220,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
577,GO:0031401,"['ABL1', 'CDKN2A', 'EIF4G1']"
578,WP:WP4806,[]
579,HPA:0510701,"['RTN4', 'MAPT']"
580,GO:0051402,['ABL1']
581,GO:0044772,"['CDKN2A', 'EIF4G1']"
582,GO:0009266,['MAPT']
583,GO:0120036,"['RTN4', 'MAPT', 'ABL1']"
584,GO:0009653,"['TUG1', 'MAPT', 'ABL1', 'RTN4']"
585,GO:0060255,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
586,GO:0005815,[]
587,GO:0010038,['MAPT']
588,GO:0030139,[]
589,GO:0008092,"['ABL1', 'MAPT']"
590,HPA:0220051,"['EIF4G1', 'ABL1', 'CDKN2A', 'OGT', 'DAPL1']"
591,GO:0005813,[]
592,GO:0042221,"['EIF4G1', 'ABL1', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
593,GO:0008625,[]
594,GO:0051254,"['ABL1', 'OGT', 'CDKN2A']"
595,GO:0042995,"['ABL1', 'RTN4', 'MAPT', 'OGT']"
596,GO:0051603,"['OGT', 'CDKN2A']"
597,GO:0034599,"['ABL1', 'MAPT']"
598,GO:0051346,['ABL1']
599,GO:0051247,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
600,GO:2000116,"['MAPT', 'CDKN2A']"
601,GO:0007267,"['RTN4', 'MAPT', 'ABL1']"
602,GO:0032092,['ABL1']
603,GO:0036293,['RTN4']
604,GO:0048522,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
605,GO:0031399,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
606,GO:0050670,['CDKN2A']
607,GO:0023052,"['ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
608,GO:0019902,['MAPT']
609,GO:0001775,"['ABL1', 'MAPT', 'CDKN2A', 'DAPL1']"
610,HPA:0600431,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
611,GO:0043500,[]
612,WP:WP4298,"['ABL1', 'EIF4G1']"
613,GO:0048511,['OGT']
614,GO:0005654,"['ABL1', 'MAPT', 'OGT', 'CDKN2A']"
615,GO:0071495,"['ABL1', 'MAPT', 'OGT']"
616,GO:0010564,"['CDKN2A', 'EIF4G1']"
617,GO:0065009,"['ABL1', 'MAPT', 'CDKN2A', 'EIF4G1']"
618,GO:1901565,"['CDKN2A', 'OGT']"
619,HPA:0330222,"['OGT', 'CDKN2A', 'EIF4G1']"
620,GO:1902554,[]
621,HPA:0630000,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
622,GO:0046700,"['OGT', 'CDKN2A']"
623,GO:0042327,"['ABL1', 'EIF4G1', 'MAPT']"
624,GO:0030111,['ABL1']
625,GO:0048519,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
626,HPA:0310000,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
627,GO:0070661,"['ABL1', 'CDKN2A']"
628,REAC:R-HSA-1280215,['EIF4G1']
629,GO:0046907,"['MAPT', 'CDKN2A']"
630,GO:0032103,['RTN4']
631,GO:0032553,"['ABL1', 'EIF4G1']"
632,WP:WP5115,[]
633,WP:WP304,['MAPT']
634,GO:0071887,['CDKN2A']
635,GO:0050727,[]
636,GO:0051493,"['ABL1', 'MAPT']"
637,HPA:0460000,"['OGT', 'CDKN2A', 'EIF4G1', 'DAPL1']"
638,GO:0070925,['MAPT']
639,GO:0052547,"['MAPT', 'CDKN2A']"
640,GO:0034605,['MAPT']
641,GO:1903050,"['CDKN2A', 'OGT']"
642,GO:0022409,['ABL1']
643,HPA:0050011,['OGT']
644,GO:0120025,"['RTN4', 'MAPT', 'ABL1']"
645,HPA:0390000,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
646,GO:0010647,"['RTN4', 'ABL1', 'OGT', 'CDKN2A']"
647,GO:0051649,"['ABL1', 'MAPT', 'CDKN2A']"
648,GO:0070588,['ABL1']
649,KEGG:05162,[]
650,KEGG:05235,[]
651,GO:0036294,['RTN4']
652,GO:0010035,"['ABL1', 'MAPT']"
653,GO:0048869,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
654,GO:0001932,"['ABL1', 'CDKN2A', 'EIF4G1']"
655,GO:0071901,"['ABL1', 'CDKN2A']"
656,GO:0045087,['RTN4']
657,GO:0030098,"['ABL1', 'CDKN2A']"
658,GO:0098771,['ABL1']
659,HPA:0390051,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
660,GO:0050870,['ABL1']
661,HPA:0180051,"['EIF4G1', 'ABL1', 'CDKN2A', 'OGT', 'DAPL1']"
662,GO:0060090,"['MAPT', 'ABL1', 'EIF4G1']"
663,GO:0034612,[]
664,GO:1903829,"['RTN4', 'MAPT', 'CDKN2A', 'EIF4G1']"
665,GO:2001236,[]
666,GO:0050673,['RTN4']
667,GO:1903037,"['ABL1', 'CDKN2A', 'DAPL1']"
668,GO:0048812,"['RTN4', 'ABL1', 'MAPT']"
669,GO:0030674,"['MAPT', 'ABL1']"
670,WP:WP3611,['CDKN2A']
671,GO:0009967,"['RTN4', 'ABL1', 'OGT', 'CDKN2A']"
672,GO:0045859,"['ABL1', 'CDKN2A']"
673,GO:0018209,['EIF4G1']
674,GO:0019941,"['OGT', 'CDKN2A']"
675,GO:0055082,"['RTN4', 'ABL1', 'OGT']"
676,GO:1904951,[]
677,WP:WP5087,"['OGT', 'EIF4G1', 'CDKN2A']"
678,GO:0016055,['ABL1']
679,GO:0045944,"['ABL1', 'OGT', 'CDKN2A']"
680,GO:0016301,"['ABL1', 'CDKN2A']"
681,GO:1901698,"['ABL1', 'OGT']"
682,GO:1904036,['ABL1']
683,GO:0005886,"['RTN4', 'MAPT', 'OGT']"
684,GO:0007417,"['RTN4', 'ABL1', 'MAPT']"
685,GO:0046824,[]
686,GO:0019219,"['ABL1', 'OGT', 'CDKN2A']"
687,GO:0048708,"['ABL1', 'MAPT']"
688,HPA:0190000,"['EIF4G1', 'ABL1', 'CDKN2A', 'OGT', 'DAPL1']"
689,GO:0034248,"['RTN4', 'OGT', 'EIF4G1', 'DAPL1']"
690,GO:0036477,"['ABL1', 'MAPT']"
691,GO:0030097,"['ABL1', 'OGT', 'CDKN2A']"
692,GO:0040017,"['RTN4', 'ABL1']"
693,GO:0006915,"['ABL1', 'CDKN2A', 'RTN4', 'OGT', 'DAPL1']"
694,GO:0065007,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
695,WP:WP5180,['MAPT']
696,GO:0042060,[]
697,HPA:0300000,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
698,GO:0051707,"['RTN4', 'ABL1']"
699,GO:0044270,"['OGT', 'CDKN2A']"
700,HPA:0610831,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
701,WP:WP4666,[]
702,GO:0071417,"['ABL1', 'OGT']"
703,GO:0009891,"['EIF4G1', 'ABL1', 'CDKN2A', 'RTN4', 'OGT']"
704,GO:0031324,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT', 'DAPL1']"
705,GO:0006109,['OGT']
706,GO:0036094,"['RTN4', 'ABL1', 'OGT', 'EIF4G1']"
707,GO:2000026,"['ABL1', 'RTN4', 'MAPT', 'CDKN2A']"
708,GO:0032555,"['ABL1', 'EIF4G1']"
709,GO:0046983,['RTN4']
710,GO:0044297,"['ABL1', 'MAPT']"
711,GO:0008219,"['ABL1', 'CDKN2A', 'RTN4', 'OGT', 'DAPL1']"
712,GO:0043066,['ABL1']
713,GO:0002573,[]
714,KEGG:05169,[]
715,GO:0009611,[]
716,GO:0052548,"['MAPT', 'CDKN2A']"
717,GO:0008047,[]
718,GO:0070848,"['ABL1', 'OGT', 'MAPT']"
719,GO:0051716,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
720,GO:0043170,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
721,GO:0140535,"['OGT', 'EIF4G1']"
722,GO:0032774,"['ABL1', 'OGT', 'CDKN2A']"
723,GO:0006897,['ABL1']
724,GO:0051174,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
725,GO:1902531,"['ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
726,GO:0007165,"['ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
727,GO:2000060,[]
728,GO:0071356,[]
729,GO:1902680,"['ABL1', 'OGT', 'CDKN2A']"
730,REAC:R-HSA-5663205,['ABL1']
731,GO:0033674,"['ABL1', 'MAPT']"
732,GO:0019900,"['ABL1', 'MAPT', 'CDKN2A']"
733,HPA:0160000,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
734,GO:0010604,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
735,GO:0032502,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
736,GO:0090066,"['RTN4', 'ABL1', 'MAPT']"
737,HPA:0100201,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
738,GO:0072359,"['RTN4', 'ABL1']"
739,GO:0030135,[]
740,HP:0000006,"['ABL1', 'MAPT', 'CDKN2A', 'EIF4G1']"
741,GO:0045184,"['MAPT', 'CDKN2A']"
742,GO:0000166,"['ABL1', 'EIF4G1']"
743,GO:0097708,[]
744,GO:0045937,"['ABL1', 'EIF4G1', 'MAPT']"
745,KEGG:04213,[]
746,GO:1904018,"['RTN4', 'ABL1']"
747,GO:0062197,"['ABL1', 'MAPT']"
748,GO:0106310,[]
749,REAC:R-HSA-109581,"['MAPT', 'CDKN2A']"
750,GO:0002682,"['RTN4', 'ABL1', 'CDKN2A', 'DAPL1']"
751,GO:0009408,['MAPT']
752,GO:0080135,"['ABL1', 'CDKN2A', 'EIF4G1', 'MAPT']"
753,GO:0000226,"['ABL1', 'MAPT']"
754,GO:0009628,"['RTN4', 'MAPT']"
755,GO:0034614,"['ABL1', 'MAPT']"
756,GO:0010468,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
757,GO:0031983,[]
758,GO:0050789,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
759,GO:0031396,"['ABL1', 'CDKN2A', 'OGT']"
760,GO:0045893,"['ABL1', 'OGT', 'CDKN2A']"
761,GO:0010721,"['RTN4', 'CDKN2A']"
762,GO:0006508,"['MAPT', 'CDKN2A', 'OGT']"
763,GO:0009892,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
764,GO:0000302,"['ABL1', 'MAPT']"
765,GO:0098687,[]
766,GO:0007610,"['ABL1', 'EIF4G1', 'MAPT']"
767,GO:0071705,['CDKN2A']
768,GO:0010648,"['ABL1', 'MAPT', 'OGT']"
769,HPA:0040000,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
770,GO:0003713,['ABL1']
771,GO:0046651,"['ABL1', 'CDKN2A']"
772,WP:WP3915,[]
773,GO:0031334,"['MAPT', 'EIF4G1']"
774,GO:0035639,"['ABL1', 'EIF4G1']"
775,HPA:0220052,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
776,GO:0033036,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
777,GO:0071383,[]
778,GO:0048638,"['RTN4', 'ABL1', 'MAPT']"
779,GO:0016049,"['EIF4G1', 'ABL1', 'MAPT', 'RTN4', 'CDKN2A']"
780,GO:0002253,"['RTN4', 'ABL1']"
781,REAC:R-HSA-9006925,[]
782,GO:0060284,"['ABL1', 'TUG1', 'MAPT', 'RTN4', 'CDKN2A']"
783,HPA:0270351,"['ABL1', 'CDKN2A', 'EIF4G1']"
784,GO:0070482,['RTN4']
785,GO:0018193,"['ABL1', 'CDKN2A', 'EIF4G1']"
786,GO:1901342,"['RTN4', 'ABL1']"
787,HPA:0360000,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
788,GO:0031344,"['RTN4', 'ABL1', 'MAPT']"
789,GO:1901700,"['ABL1', 'MAPT', 'OGT', 'EIF4G1']"
790,KEGG:05160,[]
791,GO:0051172,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
792,GO:0048585,"['ABL1', 'OGT']"
793,GO:0032386,['CDKN2A']
794,GO:0010498,['OGT']
795,GO:0031400,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
796,GO:0033993,['ABL1']
797,GO:0051347,"['ABL1', 'MAPT']"
798,KEGG:05167,[]
799,GO:0044085,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
800,GO:0033043,"['MAPT', 'ABL1']"
801,GO:0005634,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT']"
802,GO:1903706,"['ABL1', 'CDKN2A']"
803,WP:WP4630,[]
804,GO:0048870,"['RTN4', 'ABL1', 'OGT']"
805,WP:WP3888,"['ABL1', 'EIF4G1']"
806,GO:0010720,['MAPT']
807,GO:1990234,['OGT']
808,WP:WP2261,['CDKN2A']
809,GO:0005856,"['MAPT', 'ABL1']"
810,GO:0071216,['ABL1']
811,GO:0071900,"['ABL1', 'CDKN2A']"
812,GO:0048471,['ABL1']
813,GO:0006952,"['RTN4', 'MAPT', 'EIF4G1']"
814,GO:0043229,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT']"
815,GO:0009968,"['ABL1', 'OGT']"
816,GO:0009057,"['OGT', 'CDKN2A']"
817,GO:0008152,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
818,HPA:0050000,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'OGT']"
819,GO:0044092,"['ABL1', 'MAPT', 'CDKN2A']"
820,GO:0009987,"['EIF4G1', 'ABL1', 'CDKN2A', 'TUG1', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
821,GO:0001816,"['RTN4', 'ABL1']"
822,GO:0016740,"['ABL1', 'OGT', 'CDKN2A']"
823,GO:1901363,"['ABL1', 'EIF4G1']"
824,GO:1901873,"['ABL1', 'CDKN2A', 'OGT']"
825,WP:WP673,['ABL1']
826,GO:0045927,"['MAPT', 'EIF4G1']"
827,GO:0048583,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
828,REAC:R-HSA-8953897,['CDKN2A']
829,GO:0071375,['OGT']
830,HPA:0600221,"['EIF4G1', 'ABL1', 'CDKN2A', 'OGT', 'DAPL1']"
831,GO:0043167,"['RTN4', 'ABL1', 'OGT', 'EIF4G1']"
832,GO:0006807,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
833,KEGG:05135,[]
834,GO:0098542,['RTN4']
835,GO:0048731,"['EIF4G1', 'ABL1', 'TUG1', 'MAPT', 'RTN4', 'OGT']"
836,GO:0033365,"['ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
837,WP:WP4659,['CDKN2A']
838,GO:0051656,['MAPT']
839,GO:0031175,"['RTN4', 'ABL1', 'MAPT']"
840,GO:0006417,"['OGT', 'EIF4G1', 'DAPL1']"
841,GO:0010631,"['RTN4', 'ABL1']"
842,GO:1990778,"['OGT', 'EIF4G1']"
843,GO:0044271,"['EIF4G1', 'ABL1', 'CDKN2A', 'OGT', 'DAPL1']"
844,GO:0140297,['CDKN2A']
845,GO:0002039,['CDKN2A']
846,KEGG:05417,[]
847,GO:0004674,[]
848,REAC:R-HSA-162587,[]
849,GO:0030307,"['MAPT', 'EIF4G1']"
850,GO:0035556,"['ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
851,GO:0000902,"['RTN4', 'ABL1', 'MAPT']"
852,GO:0045936,"['ABL1', 'CDKN2A', 'EIF4G1', 'MAPT']"
853,GO:0051641,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT']"
854,GO:0006468,"['ABL1', 'CDKN2A', 'EIF4G1']"
855,GO:0051252,"['ABL1', 'OGT', 'CDKN2A']"
856,GO:0030522,['RTN4']
857,GO:1901800,[]
858,GO:1902003,['RTN4']
859,KEGG:04215,[]
860,GO:0045637,[]
861,GO:0051046,[]
862,GO:0045860,['ABL1']
863,GO:0071407,['ABL1']
864,GO:0030099,[]
865,HPA:0530712,"['ABL1', 'CDKN2A', 'EIF4G1']"
866,GO:0006355,"['ABL1', 'OGT', 'CDKN2A']"
867,GO:0021782,['MAPT']
868,GO:0006469,"['ABL1', 'CDKN2A']"
869,GO:0010634,"['RTN4', 'ABL1']"
870,GO:0000779,[]
871,GO:0008630,['ABL1']
872,GO:0045786,"['ABL1', 'CDKN2A']"
873,HPA:0400000,"['EIF4G1', 'ABL1', 'CDKN2A', 'MAPT', 'RTN4', 'OGT', 'DAPL1']"
874,GO:0000278,"['ABL1', 'CDKN2A', 'EIF4G1']"
875,GO:0019904,"['ABL1', 'CDKN2A', 'MAPT', 'DAPL1']"
876,GO:0000070,[]
877,REAC:R-HSA-9824446,[]
878,GO:0071363,"['ABL1', 'OGT', 'MAPT']"
879,GO:0045202,"['EIF4G1', 'ABL1', 'MAPT', 'RTN4', 'OGT']"
880,GO:0097553,['ABL1']
881,GO:0010629,"['MAPT', 'EIF4G1', 'DAPL1']"
882,HPA:0350471,"['ABL1', 'OGT', 'CDKN2A', 'EIF4G1']"
883,WP:WP4549,"['CDKN2A', 'EIF4G1']"
884,GO:1904035,['ABL1']
885,GO:0071396,['ABL1']
886,GO:0048878,"['RTN4', 'ABL1', 'OGT']"
887,GO:1904019,['ABL1']
888,GO:0030234,['CDKN2A']
889,GO:0033673,"['ABL1', 'CDKN2A', 'MAPT']"
890,GO:1901652,['OGT']
891,GO:0010594,['ABL1']
892,GO:0032944,['CDKN2A']
893,GO:0030425,"['ABL1', 'MAPT']"
894,GO:1902532,['ABL1']
